domain,target,rank,feature,mutual_info,tree_accuracy,tree_macro_f1,tree_rule
IGP24,combined,10,abs_support_amplitude,0.1368507106475838,0.5795454545454546,0.35901116427432217,"|--- abs_support_amplitude <= 1.50
|   |--- class: 25000|2
|--- abs_support_amplitude >  1.50
|   |--- abs_support_amplitude <= 15.00
|   |   |--- abs_support_amplitude <= 7.50
|   |   |   |--- class: 25000|6
|   |   |--- abs_support_amplitude >  7.50
|   |   |   |--- class: 25000|6
|   |--- abs_support_amplitude >  15.00
|   |   |--- abs_support_amplitude <= 2865252.50
|   |   |   |--- class: 25000|4
|   |   |--- abs_support_amplitude >  2865252.50
|   |   |   |--- class: 24979|2
"
IGP24,combined,11,support_amplitude,0.11612764849307666,0.5909090909090909,0.5592956592956593,"|--- support_amplitude <= 1.50
|   |--- support_amplitude <= -1.50
|   |   |--- support_amplitude <= -7.50
|   |   |   |--- class: 25000|4
|   |   |--- support_amplitude >  -7.50
|   |   |   |--- class: 25000|6
|   |--- support_amplitude >  -1.50
|   |   |--- support_amplitude <= 0.00
|   |   |   |--- class: 25000|2
|   |   |--- support_amplitude >  0.00
|   |   |   |--- class: 25000|2
|--- support_amplitude >  1.50
|   |--- support_amplitude <= 2865252.50
|   |   |--- support_amplitude <= 3.50
|   |   |   |--- class: 25000|6
|   |   |--- support_amplitude >  3.50
|   |   |   |--- class: 24979|6
|   |--- support_amplitude >  2865252.50
|   |   |--- class: 24979|2
"
IGP24,combined,12,a6_positive,0.10948163857208755,0.5568181818181818,0.14306569343065695,"|--- a6_positive <= 0.50
|   |--- class: 25000|2
|--- a6_positive >  0.50
|   |--- class: 25000|2
"
IGP24,combined,13,a6_negative,0.08916956761043915,0.5568181818181818,0.14306569343065695,"|--- a6_negative <= 0.50
|   |--- class: 25000|2
|--- a6_negative >  0.50
|   |--- class: 25000|2
"
IGP24,combined,14,reverse_resonance,0.08916956761043915,0.5568181818181818,0.14306569343065695,"|--- reverse_resonance <= 0.50
|   |--- class: 25000|2
|--- reverse_resonance >  0.50
|   |--- class: 25000|2
"
IGP24,combined,15,paired_resonance,0.052401229669603415,0.5568181818181818,0.14306569343065695,"|--- paired_resonance <= 0.50
|   |--- class: 25000|2
|--- paired_resonance >  0.50
|   |--- class: 25000|2
"
ETP,implication_true,1,idempotence_indicator,0.12960085540524813,0.6777777777777778,0.6709116126591854,"|--- idempotence_indicator <= 0.50
|   |--- class: 0
|--- idempotence_indicator >  0.50
|   |--- class: 1
"
ETP,implication_true,2,projection_indicator,0.07741404209833047,0.7555555555555555,0.6953846153846155,"|--- projection_indicator <= 0.50
|   |--- class: 0
|--- projection_indicator >  0.50
|   |--- class: 1
"
ETP,implication_true,3,diagonal_indicator,0.03035344521190586,0.6111111111111112,0.5785953177257526,"|--- diagonal_indicator <= 0.50
|   |--- class: 0
|--- diagonal_indicator >  0.50
|   |--- class: 1
"
ETP,implication_true,4,repeated_variables,0.02834242946753074,0.6222222222222222,0.3835616438356164,"|--- repeated_variables <= 2.50
|   |--- repeated_variables <= 1.50
|   |   |--- repeated_variables <= 0.50
|   |   |   |--- class: 0
|   |   |--- repeated_variables >  0.50
|   |   |   |--- class: 0
|   |--- repeated_variables >  1.50
|   |   |--- class: 0
|--- repeated_variables >  2.50
|   |--- repeated_variables <= 3.50
|   |   |--- class: 0
|   |--- repeated_variables >  3.50
|   |   |--- class: 0
"
